City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
217,Erlangen,DE,49.5897,11.0039,45.14,100,100,1.14,fog
218,Verkhnyaya Inta,RU,65.9811,60.3094,12.36,75,100,14.94,overcast clouds
219,Moyo,UG,3.6609,31.7247,65.62,90,100,1.77,overcast clouds
220,Rondonopolis,BR,-16.4708,-54.6356,78.66,59,98,3.69,overcast clouds
221,Yar-Sale,RU,66.8333,70.8333,-4.32,99,63,9.1,broken clouds
222,Salo,IT,45.6086,10.531,55.99,60,97,2.84,overcast clouds
223,Temba,ZA,-25.3803,28.2631,70.11,90,100,8.75,moderate rain
224,Sambava,MG,-14.2667,50.1667,72.21,90,43,8.46,light rain
225,Vigia,BR,-0.8583,-48.1417,80.17,81,32,7.92,very heavy rain
226,Charlestown,AU,-32.95,151.6667,68.86,97,79,3.33,broken clouds
227,Aleksandrov Gay,RU,50.147,48.5704,41.79,87,77,25.1,broken clouds
228,Cabo Rojo,PR,18.0866,-67.1457,81.09,82,20,1.01,few clouds
229,Kostomuksha,RU,64.571,30.5767,33.69,92,100,14.32,overcast clouds
230,Cidreira,BR,-30.1811,-50.2056,69.33,85,90,13.18,overcast clouds
231,Volkach,DE,49.8667,10.2333,46.11,67,96,2.33,overcast clouds
232,Coihueco,CL,-36.6167,-71.8333,54.34,88,75,11.5,thunderstorm
233,Lodingen,NO,68.414,15.9951,40.95,89,76,5.79,broken clouds
234,Marystown,CA,47.1666,-55.1483,49.86,100,100,7.0,overcast clouds
235,La Peca,PE,-5.6111,-78.435,86.92,47,100,6.46,overcast clouds
236,Chicama,PE,-7.8447,-79.1469,63.14,65,38,9.35,scattered clouds
237,Catia La Mar,VE,10.6038,-67.0303,80.76,88,100,5.86,overcast clouds
238,Kasba,IN,25.85,87.55,63.81,56,5,5.93,clear sky
239,Concarneau,FR,47.875,-3.9225,60.82,88,0,13.27,clear sky
240,Stornoway,GB,58.2093,-6.3865,55.36,90,100,17.27,overcast clouds
241,Oistins,BB,13.0667,-59.5333,86.09,70,40,10.36,scattered clouds
242,Sur,OM,22.5667,59.5289,77.77,56,1,7.4,clear sky
243,Gamba,GA,-2.65,10.0,75.42,90,98,5.95,overcast clouds
244,Luxor,EG,25.6989,32.6421,71.65,37,0,3.44,clear sky
245,Salta,AR,-24.7859,-65.4117,93.58,18,20,9.22,few clouds
246,Trelew,AR,-43.249,-65.3051,62.87,82,0,11.5,clear sky
